seed,est0,est1,est2,est3,est4,est5,est6,est7,est8,est9,hasMet,tau,nStep,nXstep,timeTaken
461,,,,,,,,,,,False,-1,7891,3946,400.04
62,1.005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,3,5,3,0.23
262,0.665,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,5,9,5,0.44
462,0.72,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,5,9,5,0.44
63,0.27,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,7,13,7,0.54
263,0.605,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,6,11,6,0.54
463,,,,,,,,,,,False,-1,7183,3592,400.08
64,0.955,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,3,5,3,0.19
264,0.57,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,8,15,8,0.6
464,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,1,1,1,0.03
65,0.665,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,5,9,5,0.35
265,0.165,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,7,13,7,0.54
465,0.165,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,6,11,6,0.48
66,0.925,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,4,7,4,0.34
266,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,1,1,1,0.04
466,0.0,0.985,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,6,11,6,0.58
67,0.61,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,8,15,8,0.75
267,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,1,1,1,0.04
467,0.6,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,6,11,6,0.57
68,,,,,,,,,,,False,-1,7065,3533,400.04
268,-25.545,-37.105,-20.975,0.875,0.985,1.0,1.0,1.0,1.0,1.0,True,172,343,172,16.83
468,0.645,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,5,9,5,0.34
69,0.82,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,5,9,5,0.37
269,0.39,1.005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,8,15,8,0.58
469,-4.145,-7.735,-8.0,0.97,1.005,1.0,1.0,1.0,1.0,1.0,True,80,159,80,7.77
70,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,1,1,1,0.03
270,0.99,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,2,3,2,0.13
470,0.735,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,6,11,6,0.47
71,0.3,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,9,17,9,0.74
271,0.475,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,6,11,6,0.41
471,0.47,0.99,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,5,9,5,0.34
72,0.165,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,6,11,6,0.48
272,,,,,,,,,,,False,-1,7399,3700,400.06
472,0.26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,6,11,6,0.44
73,0.47,0.975,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,7,13,7,0.74
273,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,1,1,1,0.04
473,,,,,,,,,,,False,-1,7113,3557,400.09
74,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,1,1,1,0.04
274,-0.205,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,8,15,8,0.77
474,0.61,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,5,9,5,0.48
75,0.64,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,6,11,6,0.48
275,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,1,1,1,0.03
475,2.82,3.62,1.015,1.005,1.0,1.0,1.0,1.0,1.0,1.0,True,30,59,30,3.25
76,0.44,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,9,17,9,0.74
276,0.83,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,5,9,5,0.41
476,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,1,1,1,0.03
77,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,8,15,8,0.62
277,,,,,,,,,,,False,-1,7381,3691,400.01
477,0.04,0.98,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,7,13,7,0.52
78,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,1,1,1,0.04
278,0.35,0.985,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,5,9,5,0.46
478,0.71,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,5,9,5,0.46
79,0.58,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,6,11,6,0.42
279,0.01,0.965,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,8,15,8,0.6
479,0.41,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,8,15,8,0.58
80,0.35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,5,9,5,0.48
280,0.505,1.005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,6,11,6,0.57
480,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,1,1,1,0.04
81,0.895,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,6,11,6,0.64
281,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,1,1,1,0.04
481,0.115,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,6,11,6,0.64
82,,,,,,,,,,,False,-1,6753,3377,400.06
282,-0.07,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,9,17,9,0.64
482,0.27,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,7,13,7,0.53
83,0.63,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,5,9,5,0.43
283,0.42,0.99,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,7,13,7,0.65
483,0.555,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,6,11,6,0.57
84,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,1,1,1,0.03
284,-17.4,-23.39,-11.6,0.955,1.015,1.01,1.005,1.0,1.0,1.0,True,112,223,112,11.01
484,0.63,0.98,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,7,13,7,0.52
85,0.595,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,6,11,6,0.41
285,0.32,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,7,13,7,0.5
485,0.325,1.015,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,7,13,7,0.48
86,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,1,1,1,0.04
286,0.185,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,7,13,7,0.71
486,0.705,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,5,9,5,0.46
87,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,1,1,1,0.04
287,0.44,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,7,13,7,0.66
487,0.32,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,7,13,7,0.72
88,0.81,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,7,13,7,0.6
288,0.955,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,4,7,4,0.3
488,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,6,11,6,0.49
89,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,1,1,1,0.04
